"code","names.frequent"
"ACHLYC","Achalarus lyciades"
"ADEBRE","Adelpha bredowii californica | Adelpha bredowii"
"AGRAVAN","Agraulis vanillae"
"AGRGLA","Agriades podarce | Agriades glandon | Agriades glandon podarce | Agriades glandon franklinii"
"AMBAES","Amblyscirtes aesculapius"
"AMBHEG","Amblyscirtes hegon | Atrytonopsis hegon"
"AMBNYS","Amblyscirtes nysa"
"AMBVIA","Amblyscirtes vialis"
"ANAAND","Anaea andria"
"ANARJAT","Anartia jatrophae"
"ANATLOG","Anatrytone logan | Atrytone logan"
"ANCNUM","Ancyloxypha numitor | Ancycloxypha numitor"
"ANTHLAN","Anthocharis lanceolata"
"ANTHMID","Anthocharis midea"
"ANTHSAR","Anthocharis sara sara | Anthocharis sara thoosa | Anthocharis sara | Anthocharis sara stella | Anthocharis julia | Anthocharis thoosa"
"APOMOR","Apodemia mormo | Apodemia virgulti | Apodemia mormo langei"
"ASBCAP","Asbolis capucinus"
"ASCMON","Ascia monuste"
"ASTCEL","Asterocampa celtis"
"ASTCLY","Asterocampa clyton"
"ASTLEI","Asterocampa leilia"
"ATACAM","Atalopedes campestris"
"ATLHAL","Atlides halesus"
"ATRYHIA","Atrytonopsis hianna"
"BATPHI","Battus philenor"
"BATPOL","Battus polydamas"
"BFLY","Butterfly sp. | Butterfly"
"BOLOBEL","Boloria bellona"
"BOLOCHA","Boloria chariclea"
"BOLOEPI","Boloria epithore"
"BOLOSEL","Boloria selene"
"BREEXI","Brephidium exile"
"BREISO","Brephidium exilis | Brephidium isophthalma"
"CALLAUG","Incisalia augustinus iroides | Callophrys augustinus"
"CALLDUM","Callophrys dumetorum | Callophrys affinis | Callophrys dumetorum apama | Callophrys dumetorum affinis | Callophrys dumetorum dumetorum"
"CALLERY","Incisalia eryphon | Callophrys eryphon"
"CALLGRY","Mitoura gryneus nelsoni | Mitoura gryneus chalcosiva | Callophrys gryneus | Callophrys gryneus gryneus | Callophrys gryneus siva | Callophrys gryneus nelsoni"
"CALLIRU","Callophrys irus"
"CALLJOH","Mitoura johnsoni | Callophrys johnsoni"
"CALLMOS","Incisalia mossii | Callophrys mossii"
"CALLNIP","Callophrys niphon"
"CALLSHE","Callophrys sheridanii lemberti | Callophrys perplexa | Callophrys sheridanii"
"CALLSPI","Callophrys spinetorum"
"CALNEM","Calephelis nemesis"
"CALPETH","Calpodes ethlius"
"CALVIR","Calephelis virginiensis"
"CALYCEC","Calycopis cecrops"
"CALYISO","Calycopis isobeon"
"CARTPAL","Carterocephalus palaemon"
"CELLAD","Celastrina ladon/neglecta | Celastrina ladon | Celastrina ladon neglecta | Celastrina ladon echo | Celastrina echo | Celastrina ladon ladon | Celastrina serotina | Celastrina ladon humulus"
"CEROET","Cercyonis oetus"
"CERPEG","Cercyonis pegala | Cercyonis pegala boopis"
"CERSTH","Cercyonis sthenele silvestris | Cercyonis sthenele"
"CHICAT","Chioides catillus"
"CHLOGOR","Chlosyne gorgone"
"CHLOHAR","Chlosyne harrisii"
"CHLOHOF","Chlosyne hoffmanni"
"CHLOLAC","Chlosyne lacinia"
"CHLOLEA","Thessalia leanira | Chlosyne leanira"
"CHLONYC","Chlosyne nycteis"
"CHLOPAL","Chlosyne palla"
"COETUL","Coenonympha tullia california | Coenonympha tullia | Coenonympha tullia ampelos | Coenonympha tullia ochracea | Coenonympha tullia inornata"
"COLALE","Colias alexandra | Colias alexandra harfordii"
"COLCES","Colias cesonia | Zerene cesonia"
"COLEU1","Zerene eurydice | Colias eurydice"
"COLEU2","Colias eurytheme"
"COLINT","Colias interior"
"COLPHI","Colias philodice | Colias philodice (eriphyle)"
"COPAUR","Copaeodes aurantiacus"
"COPMIN","Copaeodes minimus"
"CYLGEM","Cyllopsis gemma"
"CYMTRI","Cymaenes tripunctus"
"DANERE","Danaus eresimus"
"DANGIL","Danaus gilippus"
"DANPLE","Danaus plexippus"
"DRYAJUL","Dryas iulia"
"ENOANT","Enodia anthedon"
"ENOCRE","Enodia creola"
"ENOPOR","Enodia portlandia"
"EPACLA","Epargyreus clarus"
"EREEPI","Erebia epipsodea"
"ERYBAP","Erynnis baptisiae"
"ERYBRI","Erynnis brizo lacustra | Erynnis brizo"
"ERYFUN","Erynnis funeralis"
"ERYHOR","Erynnis horatius"
"ERYICE","Erynnis icelus"
"ERYJUV","Erynnis juvenalis"
"ERYPAC","Erynnis pacuvius"
"ERYPER","Erynnis persius"
"ERYPRO","Erynnis propertius"
"ERYTRI","Erynnis tristis"
"ERYZAR","Erynnis zarucco"
"EUCAUS","Euchloe ausonides"
"EUCHYA","Euchloe hyantis hyantis | Euchloe hyantis lotta | Euchloe hyantis foothill | Euchloe lotta | Euchloe hyantis"
"EUPBAT","Euphilotes battoides | Euphilotes battoides allyni | Euphilotes battoides bernardino"
"EUPENO","Euphilotes enoptes | Euphilotes ancilla | Euphilotes enoptes ancilla | Euphilotes enoptes mojave"
"EUPHCHA","Euphydryas chalcedona | Euphydryas colon | Euphydryas chalcedona anicia | Euphydryas chalcedona chalcedona | Euphydryas chalcedona colon | Euphydryas anicia"
"EUPHEDI","Euphydryas editha | Euphydryas editha taylori"
"EUPHPHA","Euphydryas phaeton"
"EUPTCLA","Euptoieta claudia"
"EUPYBIM","Euphyes bimacula"
"EUPYCON","Euphyes conspicua | Euphyes conspicuus"
"EUPYDIO","Euphyes dion"
"EUPYVES","Euphyes vestris | Euphyes vestra"
"EURDAI","Eurema daira"
"EURLIS","Eurema lisa"
"EURMEX","Eurema mexicana"
"EURNIC","Eurema nicippe | Abaeis nicippe"
"EURYMAR","Eurytides marcellus"
"EVEAMY","Everes amyntula | Cupido amyntula"
"EVECOM","Everes comyntas"
"FENTAR","Feniseca tarquinius"
"GLALYG","Glaucopsyche lygdamus | Glaucopsyche lygdamus palosverdesensis"
"GLAPIA","Glaucopsyche piasus"
"HABGRU","Habrodais grunus"
"HELCHA","Heliconius charithonia"
"HELIERI","Heliopetes ericetorum"
"HEMCER","Hemiargus ceraunus"
"HEMISO","Hemiargus isola | Echinargus isola"
"HERSOS","Hermeuptychia sosybius"
"HESCOL","Hesperia columbia"
"HESCOM","Hesperia colorado idaho | Hesperia colorado tildeni | Hesperia colorado ssp. | Hesperia colorado harpalus | Hesperia comma | Hesperia colorado | Hesperia comma colorado"
"HESJUB","Hesperia juba"
"HESLEO","Hesperia leonardus"
"HESLIN","Hesperia lindseyi"
"HESNEV","Hesperia nevada"
"HESSAS","Hesperia sassacus"
"HYLPHY","Hylephila phyleus"
"JUNCOE","Junonia coenia | Junonoia coenia"
"KRILYS","Kricogonia lyside"
"LEPCAS","Leptotes cassius"
"LEPMAR","Leptotes marina"
"LERACC","Lerema accius"
"LEROEUF","Lerodea eufala"
"LIBCAR","Libytheana carinenta | Libytheana carienta"
"LIMARC","Limenitis archippus"
"LIMART","Limenitis arthemis | L. a. arthemis"
"LIMLOR","Limenitis lorquini"
"LIMWEI","Limenitis weidemeyerii"
"LYCAARO","Lycaena arota virginiensis | Lycaena arota arota | Lycaena arota"
"LYCACUP","Lycaena cupreus"
"LYCADIO","Lycaena dione"
"LYCAEDI","Lycaena editha"
"LYCAEPI","Lycaena epixanthe | Lyceana epixanthe"
"LYCAGOR","Lycaena gorgon"
"LYCAHEL","Lycaena helloides"
"LYCAHER","Lycaena hermes"
"LYCAHET","Lycaena heteronea"
"LYCAHYL","Lycaena hyllus | Lyceana hyllus"
"LYCAMAR","Lycaena mariposa"
"LYCANIV","Lycaena nivalis"
"LYCAPHL","Lycaena phlaeas"
"LYCARUB","Lycaena rubidus"
"LYCAXAN","Lycaena xanthoides"
"LYCIDA","Lycaeides idas anna | Lycaeides idas | Plebejus idas"
"LYCMEL","Lycaeides melissa melissa | Lycaeides melissa | Plebejus melissa"
"MARPET","Marpesia petreus"
"MEGICYM","Megisto cymela"
"NASLHE","Nastra lherminier"
"NATIOL","Nathalis iole"
"NEONARE","Neonympha areolata"
"NEONMIT","Neonympha mitchellii francisci"
"NEOPMEN","Neophasia menapia"
"NONE","None Seen This Day"
"NYMANT","Nymphalis antiopa"
"NYMCAL","Nymphalis californica"
"NYMMIL","Nymphalis milberti | Aglais milberti | Nymphalis milbertii"
"NYMVAU","Nymphalis vaualbum | Nymphalis vau-album"
"OARGAR","Oarisma garita"
"OCHAGR","Ochlodes agricola"
"OCHSYL","Ochlodes sylvanoides | Ocholdes sylvanoides"
"OCHYUM","Ochlodes yuma"
"OENCHR","Oeneis chryxus ivallda | Oeneis chryxus"
"OLIMAC","Oligoria maculata"
"PANOCO","Panoquina ocola"
"PANPA1","Panoquina panoquin"
"PAPCAN","Papilio canadensis"
"PAPCRE","Papilio cresphontes | Papilio rumiko"
"PAPEUR","Papilio eurymedon"
"PAPGLA","Papilio glaucus"
"PAPIND","Papilio indra"
"PAPMUL","Papilio multicaudatus | Papilio multicaudata"
"PAPPAL","Papilio palamedes"
"PAPPOL","Papilio polyxenes"
"PAPRUT","Papilio rutulus"
"PAPTRO","Papilio troilus"
"PAPZEL","Papilio zelicaon"
"PARNCLO","Parnassius clodius"
"PARNPHO","Parnassius phoebus behrii | Parnassius smintheus | Parnassius phoebus | Parnassius phoebus smintheus"
"PARRMAL","Parrhasius m-album"
"PHISON","Philotes sonorensis"
"PHOEAGA","Phoebis agarithe"
"PHOEPHI","Phoebis philea"
"PHOESEN","Phoebis sennae"
"PHOLCAT","Pholisora catullus"
"PHYCAM","Phyciodes campestris montana | Phyciodes campestris inornatus | Phyciodes campestris campestris/montana | Phyciodes campestris campestris | Phyciodes campestris | Phyciodes pulchella"
"PHYMYL","Phyciodes mylitta"
"PHYORS","Phyciodes orseis herlani | Phyciodes orseis"
"PHYPAL","Phyciodes pallida"
"PHYPHA","Phyciodes phaon"
"PHYSEL","Phyciodes selenis | Phyciodes cocyta | Phyciodes cocyta selenis"
"PHYTEX","Phyciodes texana"
"PHYTHA","Phyciodes tharos"
"PIENAP","Pieris napi | Pieris napi marginalis | Pieris marginalis | Pieris napi oleracea"
"PIERAP","Pieris rapae"
"PLEACM","Plebejus acmon"
"PLEICA","Plebejus icarioides | Icaricia icarioides fenderi | Icaricia icarioides missionensis"
"PLELUP","Plebejus lupini"
"PLESAE","Plebejus saepiolus"
"PLESHA","Plebejus shasta"
"POAHOB","Poanes hobomok"
"POAMAS","Poanes massasoit"
"POAMEL","Poanes melane"
"POATAX","Poanes taxiles"
"POAVIA","Poanes viator"
"POAZAB","Poanes zabulon"
"POLIMAR","Polites mardon"
"POLIMYS","Polites mystic"
"POLIORI","Polites origenes"
"POLIPEC","Polites peckius"
"POLISAB","Polites sabuleti tecumseh | Polites sabuleti ssp. | Polites sabuleti sabuleti | Polites sabuleti"
"POLISON","Polites sonora"
"POLITHE","Polites themistocles"
"POLIVIB","Polites vibex"
"POLYCOM","Polygonia comma"
"POLYFAU","Polygonia faunus"
"POLYGRA","Polygonia gracilis | Polygonia gracilis zephyrus"
"POLYINT","Polygonia interrogationis"
"POLYPRO","Polygonia progne"
"POLYSAT","Polygonia satyrus"
"POMVER","Pompeius verna"
"PONBEC","Pontia beckerii"
"PONOCC","Pontia occidentalis"
"PONPRO","Pontia protodice"
"PONSIS","Pontia sisymbrii"
"PROBYS","Problema byssus"
"PYRALB","Pyrgus albescens"
"PYRCOM","Pyrgus communis"
"PYROIL","Pyrgus oileus"
"PYRPHI","Pyrgus philetas"
"PYRRUR","Pyrgus ruralis"
"PYRSCR","Pyrgus scriptura"
"SATACA","Satyrium acadica | Satyrium acadicum"
"SATAUR","Satyrium auretorum"
"SATBEH","Satyrium behrii"
"SATCA1","Satyrium calanus"
"SATCA2","Satyrium californica"
"SATCA3","Satyrium caryaevorum"
"SATEDW","Satyrium edwardsii"
"SATFAV","Satyrium favonius | Satyrium favonius favonius | Satyrium favonius ontario"
"SATFUL","Satyrium fuliginosum semiluna | Satyrium fuliginosum fuliginosum | Satyrium fuliginosa"
"SATLIP","Satyrium liparops"
"SATSAE","Satyrium saepium"
"SATSYL","Satyrium sylvinus"
"SATTET","Satyrium tetra"
"SATTIT","Satyrium titus"
"SATYAPP","Satyrodes appalachia"
"SATYEUR","Satyrodes eurydice"
"SPEYAPH","Speyeria aphrodite"
"SPEYATL","Speyeria atlantis irene | Speyeria atlantis | Speyeria hesperis | Speyeria atlantis hesperis | Speyeria atlantis atlantis"
"SPEYCAL","Speyeria callippe nevadensis | Speyeria callippe ssp. | Speyeria callippe juba | Speyeria callippe"
"SPEYCOR","Speyeria coronis"
"SPEYCYB","Speyeria cybele | Speyeria cybele leto"
"SPEYDIA","Speyeria diana"
"SPEYEDW","Speyeria edwardsii"
"SPEYEGL","Speyeria egleis"
"SPEYHYD","Speyeria hydaspe"
"SPEYIDA","Speyeria idalia"
"SPEYMOR","Speyeria mormonia"
"SPEYZER","Speyeria zerene | Speryeria zerene hippolyta"
"STAPHAY","Staphylus hayhurstii"
"STRIST","Strymon istapa"
"STRMEL","Strymon melinus"
"TEXELA","Texola elada"
"THOBAT","Thorybes bathyllus"
"THOCON","Thorybes confusis"
"THODIV","Thorybes diversus"
"THOMEX","Thorybes mexicana nevada | Thorybes mexicanus"
"THOPYL","Thorybes pylades"
"THYLIN","Thymelicus lineola"
"URBDO1","Urbanus dorantes"
"URBPR3","Urbanus proteus"
"VANANN","Vanessa annabella"
"VANATA","Vanessa atalanta"
"VANCAR","Vanessa cardui"
"VANVIR","Vanessa virginiensis"
"WALEGE","Wallengrenia egeremet"
"WALOTH","Wallengrenia otho"
